Species,Genus,Order,Conservation,BodyWt,BrainWt,TotalSleep,Awake,NonDreaming,Dreaming,LifeSpan,Gestation,Predation,Exposure,Danger,Vore_herbi,Vore_insecti,Vore_omni,Vore,Conservation_count,LogBrainWt,LogBodyWt,BrainBodyRatio
African elephant,Loxodonta,Proboscidea,vu,0.9969919117284707,0.9966101215497915,0.041318636120724776,0.9584196874419455,0.01708395149896563,0.013657170330793061,0.86966082800726,0.9959550462290085,3.0,5.0,3.0,1,0,0,herbi,7.0,8.65032450401942,8.802973456578423,0.8584310189359784
African giant pouched rat,Cricetomys,Rodentia,,0.4006153237814275,0.2649441992092604,0.35991468182391845,0.6398803016072686,0.2958233088403622,0.5774002316597041,0.16776328345923125,0.3339018086040552,3.0,1.0,3.0,0,0,1,omni,,1.8870696490323797,0.0,6.6
African striped mouse,Rhabdomys,Rodentia,,0.11536898998595535,0.6493954799863344,0.38665345895701453,0.6131664912272463,0.39246650249860926,0.47978791829877976,0.16776328345923125,0.15566364820322232,4.0,2.0,3.0,0,0,1,omni,,4.368054477106998,-3.123565645063876,1792.9545454545455
Arctic fox,Vulpes,Carnivora,,0.5345497269120115,0.5593626913980221,0.6330287030798017,0.3670064049328644,0.6434450368629486,0.7090802596812837,0.5388894728013168,0.43884351610344496,1.0,1.0,1.0,0,0,0,carni,,3.7954891891721947,1.2178757094949273,13.165680473372781
Arctic ground squirrel,Spermophilus,Rodentia,lc,0.3916190643714881,0.2451981856800972,0.8777948584063905,0.12231889287259884,0.8749106598662753,0.8352685562585336,0.35622392315417656,0.18007309962202472,5.0,2.0,3.0,1,0,0,herbi,30.0,1.7404661748405046,-0.08338160893905101,6.195652173913043
Asian elephant,Elephas,Proboscidea,en,0.987036197215464,0.9943686477619212,0.07151297932770076,0.9281663314368015,0.0064619716969874326,0.5216557757053732,0.9791484354113406,0.9944419264375118,3.0,5.0,4.0,1,0,0,herbi,4.0,8.434463543817241,7.842671474979457,1.8072241853160582
Baboon,Papio,Primates,,0.7439302857074512,0.768100992696058,0.43307188791645634,0.5667917225545771,0.5626012623771314,0.1437920904350921,0.7643180569130995,0.7470628094534182,4.0,4.0,4.0,0,0,1,omni,,5.19295685089021,3.2282319197922256,7.1329502674856355
Big brown bat,Eptesicus,Chiroptera,lc,0.07458537169786603,0.018855358393602046,0.9918994319940483,0.008102448283960438,0.982607256082567,0.9010399681532091,0.6464118535311485,0.27980403210997123,1.0,1.0,1.0,0,1,0,insecti,30.0,-1.2039728043259361,-3.7722610630529876,13.043478260869565
Bottle-nosed dolphin,Tursiops,Cetacea,,0.8936213090618345,0.8076292402944032,0.15109594405511,0.8485525356796937,0.1631249646661611,0.22389213220718918,0.9619447389508481,0.9174256625984492,1.0,2.0,1.0,0,0,0,carni,,5.5032562132074,5.155197291953219,1.416315698378815
Brazilian tapir,Tapirus,Perissodactyla,vu,0.9039918524184785,0.759678182997496,0.10048522609816146,0.8991691255361426,0.19492268822973396,0.25347803638972344,0.8014113190788184,0.9317427207443286,4.0,5.0,4.0,1,0,0,herbi,7.0,5.1298987149230735,5.3351361589362485,0.8144539062462349
Caspian seal,Phoca,Carnivora,vu,0.8470688365409782,0.7535636220930158,0.05069470807958452,0.9490200985354691,0.07979934736086997,0.050921918339413605,0.8428768932503412,0.8985721344293305,1.0,2.0,1.0,0,0,0,carni,7.0,5.084690883925667,4.454347296253507,1.8782558139534884
Cheetah,Acinonyx,Carnivora,lc,0.804601332774372,0.7199401646666632,0.6077184699139803,0.39229782186923323,0.6229114014871884,0.6682833703587314,0.6641603043822057,0.5652131181722365,1.0,2.0,1.0,0,0,0,carni,30.0,4.843556966714995,3.912023005428146,2.5384
Chimpanzee,Pan,Primates,,0.808166492326844,0.8722821980755526,0.45281669986777895,0.5470653893625544,0.4873712599813001,0.39587728455773485,0.9302432639157618,0.8103139963084001,1.0,1.0,1.0,0,0,1,omni,,6.0867747269123065,3.955082494888593,8.42911877394636
Chinchilla,Chinchilla,Rodentia,domesticated,0.30949754257121465,0.2607457416460911,0.6330287030798017,0.3670064049328644,0.7298237052040197,0.42907731555562106,0.2997262791162658,0.6176629300263543,5.0,4.0,4.0,1,0,0,herbi,10.0,1.8562979903656263,-0.8675005677047231,15.238095238095239
Common porpoise,Phocoena,Cetacea,vu,0.8096965137509609,0.7233340459520902,0.17752963569965508,0.8254559485064473,0.1896708494557745,0.25716816536051923,0.6641603043822057,0.8884176174182639,1.0,2.0,1.0,0,0,0,carni,7.0,4.867380592466203,3.9736823858148735,2.4441519368183524
Cotton rat,Sigmodon,Rodentia,,0.21040146885584865,0.08242855948541777,0.5566662859422539,0.4433088030345459,0.6363344819643232,0.29019408735080177,0.017197392335028663,0.20277385130508724,4.0,2.0,3.0,1,0,0,herbi,,0.16551443847757333,-1.9105430052180221,7.972972972972973
Cow,Bos,Artiodactyla,domesticated,0.9521840208895151,0.8683455271124062,0.07707961003512293,0.9225930983046158,0.04807504234186089,0.1437920904350921,0.7973593796398022,0.8592164267172193,5.0,5.0,5.0,1,0,0,herbi,10.0,6.0473721790462776,6.396929655216146,0.705
Deer mouse,Peromyscus,Rodentia,,0.0694152274203586,0.6493566216125246,0.5694826330848171,0.43050316025868096,0.5829121534347479,0.6381148072873222,0.34382424257013644,0.2398821384600306,4.0,2.0,3.0,1,0,0,herbi,,4.3678009274099,-3.863232841258714,3755.714285714286
Degu,Octodon,Rodentia,lc,0.24206671206647917,0.6497059520408963,0.3195412272977427,0.6802169644882886,0.358809959242634,0.21649438991740988,0.2997262791162658,0.5558817927889524,4.0,2.0,3.0,1,0,0,herbi,30.0,4.370080563655481,-1.5606477482646683,376.42857142857144
Desert hedgehog,Paraechinus,Erinaceomorpha,lc,0.3371565289540367,0.1437390697553036,0.4920421491217641,0.5078761065268188,0.420365829316953,0.7367299786297987,0.2997262791162658,0.27980403210997123,2.0,1.0,2.0,0,1,0,insecti,30.0,0.8754687373538999,-0.5978370007556204,4.363636363636363
Dog,Canis,Carnivora,domesticated,0.6863462122980168,0.6309518126827615,0.4790056282993004,0.5209007105678771,0.43285784988785714,0.7728421721056908,0.5861694874659108,0.45307123362982615,1.0,2.0,1.0,0,0,0,carni,10.0,4.248495242049359,2.6390573296152584,5.0
Domestic cat,Felis,Carnivora,domesticated,0.5319069462702827,0.4703973440010933,0.6330287030798017,0.3670064049328644,0.7215864506326869,0.8708543774110344,0.7758775578454256,0.45307123362982615,1.0,2.0,1.0,0,0,0,carni,10.0,3.242592351485517,1.1939224684724346,7.757575757575759
Donkey,Equus,Perissodactyla,domesticated,0.8980758484622973,0.867386641325948,0.03276517962565821,0.9670005326121263,0.05466914497872427,0.050921918339413605,0.8789337560928744,0.9174256625984492,5.0,5.0,5.0,1,0,0,herbi,10.0,6.037870919922137,5.231108616854587,2.2406417112299466
Eastern american chipmunk,Tamias,Rodentia,,0.18646923102209328,0.6495313978370562,0.8336076274660438,0.16651266308330215,0.8363250155298323,0.8111947624932583,0.34382424257013644,0.24373976101190675,4.0,2.0,3.0,1,0,0,herbi,,4.368941395125226,-2.1892564076870427,704.9999999999999
Eastern american mole,Scalopus,Soricomorpha,lc,0.15418398652168774,0.08364059782019312,0.3666134344994799,0.6331877735937492,0.2958233088403622,0.6035037837109246,0.1064667369020445,0.3339018086040552,1.0,1.0,1.0,0,1,0,insecti,30.0,0.1823215567939546,-2.5902671654458267,16.0
European hedgehog,Erinaceus,Erinaceomorpha,lc,0.3725588740136889,0.1846060770208161,0.4790056282993004,0.5209007105678771,0.32433310966289186,0.917806074841643,0.25089889659094233,0.3339018086040552,2.0,2.0,2.0,0,0,1,omni,30.0,1.252762968495368,-0.2613647641344075,4.545454545454545
Galago,Galago,Primates,,0.2375480425359161,0.22812084918305792,0.45937856770018415,0.5405096303493518,0.599381820744304,0.32630763672075747,0.43391868510012704,0.6369136230367989,2.0,2.0,2.0,0,0,1,omni,,1.6094379124341003,-1.6094379124341003,25.0
Genet,Genetta,Carnivora,,0.4765473770955375,0.40981273518118,0.22463696290064672,0.7750455055304948,0.16061316267104225,0.3615872068809784,0.8346089879014673,0.483670617361913,1.0,2.0,1.0,0,0,0,carni,,2.8622008809294686,0.6931471805599453,8.75
Giant armadillo,Priodontes,Cingulata,en,0.8194739756429991,0.6534343996812868,0.9486175703688398,0.051448261598088046,0.8074323621031056,0.9898061870471323,0.2997262791162658,0.036224983593068374,1.0,1.0,1.0,0,1,0,insecti,4.0,4.394449154672439,4.0943445622221,1.35
Giraffe,Giraffa,Artiodactyla,cd,0.9651074556676648,0.9114164040080222,0.0031524623746718326,0.9968106212141506,0.012722005293138083,0.029076288740754054,0.7758775578454256,0.9356403875957043,5.0,5.0,5.0,1,0,0,herbi,2.0,6.522092798170152,6.802389207753323,0.7555597531097394
Goat,Capri,Artiodactyla,lc,0.7699554652186527,0.7057339913117691,0.15765502798101388,0.8419949326869021,0.053544966299663974,0.07820064054893397,0.6641603043822057,0.6945926002015708,5.0,5.0,5.0,1,0,0,herbi,30.0,4.74493212836325,3.5115454388310208,3.4328358208955225
Golden hamster,Mesocricetus,Rodentia,en,0.19228238058403269,0.07110313489047133,0.7448044070903723,0.2552957775077195,0.7298237052040197,0.84702983749004,0.1313602106194352,0.05587034841604659,3.0,1.0,2.0,1,0,0,herbi,4.0,0.0,-2.120263536200091,8.333333333333334
Golden-mantled ground squirrel,Spermophilus,Rodentia,lc,0.23983087869421593,0.20036675613632204,0.839288973056637,0.16083122202690947,0.6793127823282182,0.84702983749004,0.3838059003581676,0.21353845441729746,5.0,1.0,3.0,1,0,0,herbi,30.0,1.3862943611198906,-1.584745299843729,19.51219512195122
Gorilla,Gorilla,Primates,cr,0.9038568495401254,0.8641791388066975,0.6013681297881808,0.3986432593045018,0.6238098527097437,0.6111088086865812,0.874371971890527,0.8329870389246384,1.0,4.0,1.0,1,0,0,herbi,1.0,6.0063531596017325,5.332718793265369,1.961352657004831
Gray hyrax,Heterohyrax,Hyracoidea,lc,0.50661844266724,0.3548258328173811,0.22463696290064672,0.7750455055304948,0.2685592179890433,0.10958787403623615,0.5388894728013168,0.8081175823724435,3.0,2.0,3.0,1,0,0,herbi,30.0,2.50715725872282,0.965080896043587,4.674285714285714
Gray seal,Haliochoerus,Carnivora,lc,0.8462104587665654,0.8403848088598236,0.2178684746370259,0.7818096076367971,0.15232035926479998,0.42907731555562106,0.8852008233401458,0.8819717567952694,1.0,3.0,1.0,0,0,0,carni,30.0,5.783825182329737,4.442651256490317,3.823529411764706
Gray wolf,Canis,Carnivora,lc,0.7771814695371764,0.7112923033068338,0.6644520768460088,0.33560458707977275,0.6732606138622206,0.7290336475641099,0.5905539442359269,0.45307123362982615,1.0,1.0,1.0,0,0,0,carni,30.0,4.783316371371566,3.5926438462331105,3.289292595650977
Greater short-tailed shrew,Blarina,Soricomorpha,lc,0.06387686686167725,0.01803592491216537,0.7809944245780958,0.21911830157870688,0.8224695244260756,0.6522710915876363,0.07539911670509986,0.1427660056326247,3.0,1.0,2.0,0,0,1,omni,30.0,-1.2378743560016174,-3.9633162998156966,15.26315789473684
Guinea pig,Cavis,Rodentia,domesticated,0.3665965972425488,0.2404880530039779,0.43307188791645634,0.5667917225545771,0.4011272473774958,0.17971580033431583,0.32671288447608776,0.4752695589575851,5.0,3.0,4.0,1,0,0,herbi,10.0,1.7047480922384253,-0.3174542307854511,7.554945054945055
Horse,Equus,Perissodactyla,domesticated,0.9470118277973403,0.9083667646305368,0.02513653056096969,0.9746601597720341,0.0064619716969874326,0.17971580033431583,0.9125387661946129,0.8998728850941111,5.0,5.0,5.0,1,0,0,herbi,10.0,6.484635235635252,6.255750041753367,1.2571976967370442
House mouse,Mus,Rodentia,nt,0.07204273050934022,0.027053230894040634,0.6330287030798017,0.3670064049328644,0.8001040336631362,0.3615872068809784,0.0877476009545402,0.10116170925349721,4.0,1.0,3.0,1,0,0,herbi,4.0,-0.916290731874155,-3.816712825623821,18.181818181818183
Human,Homo,Primates,,0.8220860818791089,0.9555717172890142,0.33976499133580695,0.6600114471195504,0.2769830547302876,0.5501227434251375,0.9976708599094434,0.8470287067667234,1.0,1.0,1.0,0,0,1,omni,,7.1853870155804165,4.127134385045092,21.29032258064516
Jaguar,Panthera,Carnivora,nt,0.8579025024803668,0.7496844851829274,0.4985461508154383,0.5013780036345428,0.5025615754728248,0.6085853077182216,0.7028270712537021,0.5857830210349564,1.0,1.0,1.0,0,0,0,carni,4.0,5.056245805348308,4.605170185988092,1.57
Laboratory rat,Rattus,Rodentia,lc,0.28236347852309435,0.12127755002403678,0.6644520768460088,0.33560458707977275,0.6964299151690467,0.7171848442604987,0.17953789016922228,0.12938484576566667,3.0,1.0,3.0,1,0,0,herbi,30.0,0.6418538861723947,-1.1394342831883648,5.9375
Lesser short-tailed shrew,Cryptotis,Soricomorpha,lc,0.00200285683659495,0.0066039915465104055,0.413237707532473,0.586607249997788,0.42997635086090513,0.39587728455773485,0.05159198090469868,0.13613653452724733,5.0,2.0,4.0,0,0,1,omni,30.0,-1.9661128563728327,-5.298317366548036,28.000000000000004
Lion,Panthera,Carnivora,vu,0.889368391138929,0.8017989020252954,0.695612534714881,0.30446320351627104,0.7082502289501668,0.7290336475641099,0.6641603043822057,0.6250531847352315,1.0,2.0,1.0,0,0,0,carni,7.0,5.455791090372227,5.084498950693076,1.4496064991114497
Little brown bat,Myotis,Chiroptera,,0.03180620419132538,0.014781456431360473,0.9942372571031516,0.005761226726942938,0.997706021093567,0.5774002316597041,0.7259121799235722,0.38538612842457215,1.0,1.0,1.0,0,1,0,insecti,,-1.3862943611198906,-4.605170185988091,25.0
Long-nosed armadillo,Dasypus,Cingulata,lc,0.5383968249563076,0.3355986305836172,0.9181174347859187,0.08197612567740614,0.9402548987389787,0.8051654183283274,0.27594173832950775,0.6369136230367989,2.0,1.0,1.0,0,0,0,carni,30.0,2.379546134130174,1.252762968495368,3.085714285714286
Macaque,Macaca,Primates,,0.6108235150757894,0.7673619167769072,0.4790056282993004,0.5209007105678771,0.4968723110251279,0.32630763672075747,0.7868802428666782,0.7222950975203183,2.0,3.0,2.0,0,0,1,omni,,5.187385805840755,1.916922612182061,26.323529411764707
