Species,Genus,Order,Conservation,BodyWt,BrainWt,TotalSleep,Awake,NonDreaming,Dreaming,LifeSpan,Gestation,Predation,Exposure,Danger,Vore_herbi,Vore_insecti,Vore_omni,Vore,Conservation_count,LogBrainWt,LogBodyWt,BrainBodyRatio
African elephant,Loxodonta,Proboscidea,vu,0.9993073613549536,0.9937785678523567,0.04286427650593822,0.9569191256947495,0.027517923183643423,0.01957226134588087,0.8725912024534479,0.9964840798375109,3.0,5.0,3.0,1,0,0,herbi,7.0,8.65032450401942,8.802973456578423,0.8584310189359784
African giant pouched rat,Cricetomys,Rodentia,,0.41722037536535406,0.2664394242099051,0.34549574339872263,0.6543352042467329,0.2612575958225359,0.5782820173859526,0.16090518582599156,0.3286345759215983,3.0,1.0,3.0,0,0,1,omni,,1.8870696490323797,0.0,6.6
African striped mouse,Rhabdomys,Rodentia,,0.10741917660756028,0.6648030924358532,0.37403538685691007,0.6258157208329824,0.3621794605562708,0.47065534437535544,0.16090518582599156,0.15387211547609558,4.0,2.0,3.0,0,0,1,omni,,4.368054477106998,-3.123565645063876,1792.9545454545455
Arctic fox,Vulpes,Carnivora,,0.5714912200814881,0.5729534699784051,0.6426786744740705,0.35734628832070137,0.6460225648906311,0.7200791785250371,0.5402155316370121,0.4367891099205917,1.0,1.0,1.0,0,0,0,carni,,3.7954891891721947,1.2178757094949273,13.165680473372781
Arctic ground squirrel,Spermophilus,Rodentia,lc,0.40682779567354965,0.24627419655413602,0.8861552768318456,0.11390548300278236,0.8866742170567843,0.8461861981244423,0.34723906183181547,0.1769886430680792,5.0,2.0,3.0,1,0,0,herbi,30.0,1.7404661748405046,-0.08338160893905101,6.195652173913043
Asian elephant,Elephas,Proboscidea,en,0.9921545303811415,0.9902950082154748,0.0688299294898969,0.9309204968502639,0.018639860977954885,0.5168191534203103,0.9742180883540833,0.9939364230716495,3.0,5.0,4.0,1,0,0,herbi,4.0,8.434463543817241,7.842671474979457,1.8072241853160582
Baboon,Papio,Primates,,0.7944327836551737,0.7809444182402242,0.42425241343193404,0.5756346465168505,0.5539237791724106,0.13061285812939166,0.772582991045305,0.7532160591853201,4.0,4.0,4.0,0,0,1,omni,,5.19295685089021,3.2282319197922256,7.1329502674856355
Big brown bat,Eptesicus,Chiroptera,lc,0.06864149917925627,0.017366090311758637,0.9898964122897532,0.01009523377826442,0.9821041047364188,0.9068879121054143,0.6533862703008209,0.27416893617425836,1.0,1.0,1.0,0,1,0,insecti,30.0,-1.2039728043259361,-3.7722610630529876,13.043478260869565
Bottle-nosed dolphin,Tursiops,Cetacea,,0.9253366476866759,0.8180388965649465,0.13868208049587533,0.8610462034380542,0.13906553611655048,0.20399075252287152,0.9571390107418428,0.9143691538036223,1.0,2.0,1.0,0,0,0,carni,,5.5032562132074,5.155197291953219,1.416315698378815
Brazilian tapir,Tapirus,Perissodactyla,vu,0.9332782895781343,0.772931879906247,0.09379213795671326,0.9059425986195371,0.1663895433899345,0.23255718505595796,0.8085389424791689,0.9277031804027652,4.0,5.0,4.0,1,0,0,herbi,7.0,5.1298987149230735,5.3351361589362485,0.8144539062462349
Caspian seal,Phoca,Carnivora,vu,0.8878226017147879,0.7670917356275149,0.05098084704714354,0.9487897322842769,0.07339878318038717,0.05204639727496418,0.8477667446493143,0.8969171359373054,1.0,2.0,1.0,0,0,0,carni,7.0,5.084690883925667,4.454347296253507,1.8782558139534884
Cheetah,Acinonyx,Carnivora,lc,0.8510098615159927,0.7346342867201691,0.6154080954442576,0.38460293908224624,0.6228000777241682,0.676968868901622,0.6717396374320928,0.5686157881601792,1.0,2.0,1.0,0,0,0,carni,30.0,4.843556966714995,3.912023005428146,2.5384
Chimpanzee,Pan,Primates,,0.8541919612590452,0.8769306427622661,0.4458049365695429,0.5540974845319145,0.4679028574972891,0.3792902239411034,0.9277866766308713,0.8143666033957966,1.0,1.0,1.0,0,0,1,omni,,6.0867747269123065,3.955082494888593,8.42911877394636
Chinchilla,Chinchilla,Rodentia,domesticated,0.31292490487234803,0.26214305002545324,0.6426786744740705,0.35734628832070137,0.74124122339337,0.41516323528441673,0.289400501566029,0.6228819872817133,5.0,4.0,4.0,1,0,0,herbi,10.0,1.8562979903656263,-0.8675005677047231,15.238095238095239
Common porpoise,Phocoena,Cetacea,vu,0.855552537215156,0.7379362045478542,0.16295320000096247,0.8398688382740387,0.16178859794706146,0.23617283480279094,0.6717396374320928,0.88752544030389,1.0,2.0,1.0,0,0,0,carni,7.0,4.867380592466203,3.9736823858148735,2.4441519368183524
Cotton rat,Sigmodon,Rodentia,,0.20414877367639422,0.08370812559379764,0.5597917978491985,0.44018712420714734,0.6379996193677046,0.26902692454040544,0.02158802577924321,0.19871605924510266,4.0,2.0,3.0,1,0,0,herbi,,0.16551443847757333,-1.9105430052180221,7.972972972972973
Cow,Bos,Artiodactyla,domesticated,0.9682539067109032,0.8734029968938175,0.07360130556697006,0.9261451738748058,0.05027410361342602,0.13061285812939166,0.8046509989564455,0.8604188357111622,5.0,5.0,5.0,1,0,0,herbi,10.0,6.0473721790462776,6.396929655216146,0.705
Deer mouse,Peromyscus,Rodentia,,0.06383619153876888,0.6647640442851771,0.5738131176113562,0.4261743169216084,0.5771911964311458,0.6445440295514975,0.3344274332961077,0.23473450957282177,4.0,2.0,3.0,1,0,0,herbi,,4.3678009274099,-3.863232841258714,3755.714285714286
Degu,Octodon,Rodentia,lc,0.2381694783600598,0.665115059631824,0.3030995214803385,0.6967025501698008,0.3260866020334987,0.19696823480310627,0.289400501566029,0.5589095274045007,4.0,2.0,3.0,1,0,0,herbi,30.0,4.370080563655481,-1.5606477482646683,376.42857142857144
Desert hedgehog,Paraechinus,Erinaceomorpha,lc,0.34429376065943385,0.14438212154994862,0.48882241193506987,0.5111100776404395,0.3927340139398718,0.7487212327054126,0.289400501566029,0.27416893617425836,2.0,1.0,2.0,0,1,0,insecti,30.0,0.8754687373538999,-0.5978370007556204,4.363636363636363
Dog,Canis,Carnivora,domesticated,0.736861474897597,0.6462048674981531,0.4745050855944638,0.5254175122036401,0.4065765139842818,0.7853231956991398,0.5903066662626922,0.45161227208299803,1.0,2.0,1.0,0,0,0,carni,10.0,4.248495242049359,2.6390573296152584,5.0
Domestic cat,Felis,Carnivora,domesticated,0.5684882692049208,0.48032759433357175,0.6426786744740705,0.35734628832070137,0.7323799194685336,0.8794438904850361,0.7838751870894596,0.45161227208299803,1.0,2.0,1.0,0,0,0,carni,10.0,3.242592351485517,1.1939224684724346,7.757575757575759
Donkey,Equus,Perissodactyla,domesticated,0.9287664770356872,0.8725427229804055,0.035339566825210195,0.9644585599358241,0.055033697849776575,0.05204639727496418,0.8811036491786588,0.9143691538036223,5.0,5.0,5.0,1,0,0,herbi,10.0,6.037870919922137,5.231108616854587,2.2406417112299466
Eastern american chipmunk,Tamias,Rodentia,,0.1789878109471736,0.6649396694531657,0.8455629703023448,0.15450711871094408,0.8501699140423841,0.8230933487084947,0.3344274332961077,0.2385145845918209,4.0,2.0,3.0,1,0,0,herbi,,4.368941395125226,-2.1892564076870427,704.9999999999999
Eastern american mole,Scalopus,Soricomorpha,lc,0.1458741250753765,0.08491268735646529,0.3526143347803208,0.6472216029722204,0.2612575958225359,0.6069017981506426,0.10463305466052164,0.3286345759215983,1.0,1.0,1.0,0,1,0,insecti,30.0,0.1823215567939546,-2.5902671654458267,16.0
European hedgehog,Erinaceus,Erinaceomorpha,lc,0.38485553942450795,0.1850841738435327,0.4745050855944638,0.5254175122036401,0.2901247277037351,0.9218846451397981,0.24067763082912014,0.3286345759215983,2.0,2.0,2.0,0,0,1,omni,30.0,1.252762968495368,-0.2613647641344075,4.545454545454545
Galago,Galago,Primates,,0.23326717093103616,0.22892147405012175,0.4529858163350772,0.5469216891231077,0.5960163997453016,0.3059029670001758,0.42866098111814566,0.6426372597952471,2.0,2.0,2.0,0,0,1,omni,,1.6094379124341003,-1.6094379124341003,25.0
Genet,Genetta,Carnivora,,0.5050397697138654,0.416858710655206,0.2076805160316864,0.7920672044692099,0.13696166581681601,0.3427737080386436,0.8400251341715224,0.48354942590487526,1.0,2.0,1.0,0,0,0,carni,,2.8622008809294686,0.6931471805599453,8.75
Giant armadillo,Priodontes,Cingulata,en,0.8641749388004913,0.668858510366199,0.948728539440282,0.051298551240218995,0.8217532806369301,0.9883936584429611,0.289400501566029,0.041288068167639434,1.0,1.0,1.0,0,1,0,insecti,4.0,4.394449154672439,4.0943445622221,1.35
Giraffe,Giraffa,Artiodactyla,cd,0.9771617637980546,0.9117044182991231,0.0049261539068550745,0.994996472307998,0.024056300164048507,0.03360925852711363,0.7838751870894596,0.9313582953575716,5.0,5.0,5.0,1,0,0,herbi,2.0,6.522092798170152,6.802389207753323,0.7555597531097394
