Species	Genus	Order	Vore	Conservation	BodyWt	BrainWt	TotalSleep	Awake	NonDreaming	Dreaming	LifeSpan	Gestation	Predation	Exposure	Danger
Tenrec	Tenrec	Afrosoricida	omni		0.9	2.6	15.6	8.4							
Roe deer	Capreolus	Artiodactyla	herbi		14.8	98.2	3	21							
Goat	Capri	Artiodactyla	herbi	nt	33.5	115	5.3	18.7	10.8	1.9	2.6	50	1	1	1
Sheep	Ovis	Artiodactyla	herbi		55.5	175	3.8	20.2							
Pig	Sus	Artiodactyla	omni		86.25	180	9.1	14.9		2.6					
Cow	Bos	Artiodactyla	herbi	lc	600	423	4	20	11	4.1	7	400	2	2	2
Giraffe	Giraffa	Artiodactyla	herbi	nt	899.995	680	1.9	22.1	8.4	1.3	4.7	21.5	1	1	1
Caspian seal	Phoca	Carnivora	carni	lc	86	84.30	3.5	20.5	6.3	0.9	28	281	5	5	5
Cheetah	Acinonyx	Carnivora	carni	lc	50	49.01	12.1	11.9	6.6	2.7	40	63	2	1	2
Lion	Panthera	Carnivora	carni	lc	161.499	158.31	13.5	10.5	9.7	1.8	20	150	2	2	2
Northern fur seal	Callorhinus	Carnivora	carni	lc	20.49	20.09	8.7	15.3		2.3			3	2	2
Tiger	Panthera	Carnivora	carni		162.564	159.35	15.8	8.2							
Genet	Genetta	Carnivora	carni	domesticated	2	17.5	6.3	17.7	8.4	0.8	100	100	5	5	5
Domestic cat	Felis	Carnivora	carni	lc	3.3	25.6	12.5	11.5	11.9	0.5	39.3	310	3	1	2
Raccoon	Procyon	Carnivora	carni		4.288	39.2	12.5	11.5							
Arctic fox	Vulpes	Carnivora	carni	lc	3.38	44.5	12.5	11.5	15.8	3.9	69	25	5	2	3
Red fox	Vulpes	Carnivora	carni		4.23	50.4	9.8	14.2							
Dog	Canis	Carnivora	carni	en	14	70	10.1	13.9	2.1	0.3	9	252	5	5	5
Gray wolf	Canis	Carnivora	carni	vu	36.33	119.5	13	11	7.5	2.4	12	12	2	1	1
Jaguar	Panthera	Carnivora	carni	lc	100	157	10.4	13.6	11	1.4	9.8	63	2	1	2
Gray seal	Haliochoerus	Carnivora	carni	lc	85	325	6.2	17.8	6.5	1.2	5	30	2	3	2
Bottle-nosed dolphin	Tursiops	Cetacea	carni	vu	173.33	169.91	5.2	18.8	7.6	1.1	7	230	1	1	1
Common porpoise	Phocoena	Cetacea	carni	domesticated	53.18	52.13	5.6	18.45	12	0.4	10.4	42	1	1	1
Pilot whale	Globicephalus	Cetacea	carni		800	784.21	2.7	21.35		0.6					
Little brown bat	Myotis	Chiroptera	insecti	domesticated	0.01	0.25	19.9	4.1	12.8	1.9	50	151	1	1	1
Big brown bat	Eptesicus	Chiroptera	insecti	domesticated	0.023	0.3	19.7	4.3	3.2	1.5	50	392	4	5	4
Long-nosed armadillo	Dasypus	Cingulata	carni	lc	3.5	10.8	17.4	6.6		0.1	12.7	28	3	2	3
