Species,Genus,Order,Vore,Conservation,BodyWt,BrainWt,TotalSleep,Awake,NonDreaming,Dreaming,LifeSpan,Gestation,Predation,Exposure,Danger
African elephant,Loxodonta,Proboscidea,herbi,vu,6654.0,5712.0,3.3,20.7,,,38.6,645.0,3.0,5.0,3.0
African giant pouched rat,Cricetomys,Rodentia,omni,,1.0,6.6,8.3,15.7,6.3,2.0,4.5,42.0,3.0,1.0,3.0
African striped mouse,Rhabdomys,Rodentia,omni,,0.044,78.89,8.7,15.3,,,4.5,23.0,4.0,4.0,3.0
Arctic fox,Vulpes,Carnivora,carni,,3.38,44.5,12.5,11.5,,,14.0,60.0,1.0,1.0,1.0
Arctic ground squirrel,Spermophilus,Rodentia,herbi,lc,0.92,5.7,16.6,7.4,,,,25.0,5.0,2.0,3.0
Asian elephant,Elephas,Proboscidea,herbi,en,2547.0,4603.0,3.9,20.1,2.1,1.8,69.0,624.0,3.0,5.0,4.0
Baboon,Papio,Primates,omni,,25.235,180.0,9.4,14.6,9.1,0.7,27.0,180.0,4.0,4.0,4.0
Big brown bat,Eptesicus,Chiroptera,insecti,lc,0.023,0.3,19.7,4.3,15.8,3.9,19.0,35.0,1.0,1.0,1.0
Bottle-nosed dolphin,Tursiops,Cetacea,carni,,173.33,245.49,5.2,18.8,,,60.0,365.0,,,
Brazilian tapir,Tapirus,Perissodactyla,herbi,vu,207.501,169.0,4.4,19.6,5.2,1.0,30.4,392.0,4.0,5.0,4.0
Caspian seal,Phoca,Carnivora,carni,vu,86.0,161.53,3.5,20.5,,0.4,35.0,334.0,1.0,1.0,1.0
Cheetah,Acinonyx,Carnivora,carni,lc,50.0,126.92,12.1,11.9,,,20.0,93.0,1.0,1.0,1.0
Chimpanzee,Pan,Primates,omni,,52.2,440.0,9.7,14.3,8.3,1.4,50.0,230.0,1.0,1.0,1.0
Chinchilla,Chinchilla,Rodentia,herbi,domesticated,0.42,6.4,12.5,11.5,11.0,1.5,7.0,112.0,5.0,4.0,4.0
Common porpoise,Phocoena,Cetacea,carni,vu,53.18,129.98,5.6,18.45,,,20.0,319.0,,,
Cotton rat,Sigmodon,Rodentia,herbi,,0.148,1.18,11.3,12.7,,1.1,1.9,27.0,4.0,4.0,3.0
Cow,Bos,Artiodactyla,herbi,domesticated,600.0,423.0,4.0,20.0,3.2,0.7,30.0,281.0,5.0,5.0,5.0
Deer mouse,Peromyscus,Rodentia,herbi,,0.021,78.87,11.5,12.5,,,8.0,30.6,4.0,4.0,3.0
Degu,Octodon,Rodentia,herbi,lc,0.21,79.05,7.7,16.3,,0.9,7.0,90.0,4.0,4.0,3.0
