Species,Genus,Order,Conservation,BodyWt,BrainWt,TotalSleep,Awake,NonDreaming,Dreaming,LifeSpan,Gestation,Predation,Exposure,Danger,Vore_class,Vore_herbi,Vore_insecti,Vore_omni,Vore,Conservation_count
African elephant,Loxodonta,Proboscidea,vu,8.493571117109495,6.965351349897182,-1.6459365472163496,1.6450560240629217,-1.8202753823065767,-1.3723964547447447,1.1478180714799489,3.7903021452384076,3.0,5.0,3.0,3,1,0,0,herbi,7.0
African giant pouched rat,Cricetomys,Rodentia,,-0.20981305703228872,-0.2891469051347604,-0.5198239362709074,0.5193687966484638,-0.7014586399728402,-0.0149955527487427,-0.8188188749015491,-0.6454456527903002,3.0,1.0,3.0,4,0,0,1,omni,
African striped mouse,Rhabdomys,Rodentia,,-0.21106368611247503,-0.1972291291933261,-0.42973492739527236,0.42931381845530747,-0.4048694248135033,-0.27139350090354314,-0.8188188749015491,-0.7852121671560471,4.0,2.0,3.0,4,0,0,1,omni,
Arctic fox,Vulpes,Carnivora,,-0.20669956622596716,-0.2409565093928824,0.4261106569232638,-0.4262084743796807,0.38211977976770795,0.40730695009445794,-0.270928816525472,-0.5130352707595924,1.0,1.0,1.0,1,0,0,0,carni,
Arctic ground squirrel,Spermophilus,Rodentia,lc,-0.20991771218544242,-0.2902912680943301,1.3495229978985266,-1.349272000859536,1.2689508983629532,0.9728906592594587,-0.5996628515511182,-0.7704999024859686,5.0,2.0,3.0,3,1,0,0,herbi,30.0
Asian elephant,Elephas,Proboscidea,en,3.1208371920831457,5.555241880827454,-1.5108030339028966,1.5099735567731873,-1.9347999307344397,-0.16581787519274288,2.9010662582833957,3.635823366202582,3.0,5.0,4.0,3,1,0,0,herbi,4.0
Baboon,Papio,Primates,,-0.17810908657379992,-0.06866630825767223,-0.27207916186291026,0.2717176066172831,0.12076888720155934,-0.9953406486347441,0.47881547388389667,0.3697006094451255,4.0,4.0,4.0,4,0,0,1,omni,
Big brown bat,Eptesicus,Chiroptera,lc,-0.2110911580901779,-0.297157445851748,2.0477128166847,-2.0471980818565005,2.088241898654587,1.4178165104692593,0.017434372093515962,-0.6969385791355753,1.0,1.0,1.0,2,0,1,0,insecti,30.0
Bottle-nosed dolphin,Tursiops,Cetacea,,0.01562722475485299,0.014605169767013508,-1.2180137550570815,1.217294877645428,-1.1331280917394,-0.8294360939463439,2.3820125187692174,1.730585091427399,1.0,2.0,1.0,1,0,0,0,carni,
Brazilian tapir,Tapirus,Perissodactyla,vu,0.06032936523502718,-0.08265296665241254,-1.3981917728083524,1.3974048340317415,-1.0244765970770686,-0.7691071649687438,0.6749024421448084,1.9292006644734605,4.0,5.0,4.0,3,1,0,0,herbi,7.0
Caspian seal,Phoca,Carnivora,vu,-0.09861695680651815,-0.09215117921684073,-1.600892042778532,1.6000285349663437,-1.4561460488436282,-1.2215741323007445,0.9401965756742774,1.5025449890411802,1.0,2.0,1.0,1,0,0,0,carni,7.0
