Species,Genus,Order,BodyWt,BrainWt,TotalSleep,NonDreaming,Dreaming,LifeSpan,Gestation,Predation,Exposure,Danger,Vore_herbi,Vore_insecti,Vore_omni,Vore,BrainBodyRatio,LogBrainWt,LogBodyWt
African elephant,Loxodonta,Proboscidea,0.9999999999999999,1.0000000000000002,0.038401866537231905,0.009056819037131097,0.009882683564561947,0.8740745101979741,0.9999999999999998,3.0,5.0,3.0,1,0,0,herbi,0.8584310189359784,8.65032450401942,8.802973456578423
African giant pouched rat,Cricetomys,Rodentia,0.4051185488696284,0.4718409037662721,0.3447448765551355,0.24740734851830395,0.5780964938357974,0.1590547500328815,0.3264252425809048,3.0,1.0,3.0,0,0,1,omni,6.6,1.88706964903238,0.0
African striped mouse,Rhabdomys,Rodentia,0.12245005000269499,0.006390257387637606,0.3736345295307066,0.35353450120678626,0.46863886768626994,0.1590547500328815,0.15025219761965977,4.0,2.0,3.0,0,0,1,omni,0.025,-6.812445099177812,-3.123565645063876
Arctic fox,Vulpes,Carnivora,0.5431082648175487,0.6721408018613824,0.6455731660994264,0.6399431527544317,0.722305901036219,0.5403030869999519,0.4354895864954632,1.0,1.0,1.0,0,0,0,carni,13.16568047337278,3.7954891891721942,1.2178757094949273
Arctic ground squirrel,Spermophilus,Rodentia,0.39588537535930923,0.45637516796976335,0.8920399928074183,0.8856875743358602,0.850558200612151,0.3464333820541249,0.1735492762252574,5.0,2.0,3.0,1,0,0,herbi,6.195652173913043,1.7404661748405046,-0.083381608939051
Asian elephant,Elephas,Proboscidea,0.9849551761521298,0.9921295045236949,0.06468583240395112,0.0,0.5155880190591969,0.976195494143324,0.9974323641917959,3.0,5.0,4.0,1,0,0,herbi,1.8072241853160584,8.434463543817241,7.842671474979457
Baboon,Papio,Primates,0.7530628728164186,0.8011455423993277,0.42446742832858536,0.5459505763499862,0.12281178238761582,0.7736407589219735,0.7546537736383275,4.0,4.0,4.0,0,0,1,omni,7.132950267485636,5.19295685089021,3.2282319197922256
Big brown bat,Eptesicus,Chiroptera,0.08332311621959604,0.18929197207833212,0.9970576730047696,0.9832191836464812,0.9122925218501308,0.6539519968223795,0.27151031801628883,1.0,1.0,1.0,0,1,0,insecti,13.043478260869565,-1.203972804325936,-3.772261063052988
Bottle-nosed dolphin,Tursiops,Cetacea,0.8934314644935333,0.8262368691030043,0.13539470821680266,0.12280671760550771,0.197437861775757,0.9590235540852614,0.9172035629475144,1.0,2.0,1.0,0,0,0,carni,1.416315698378815,5.5032562132074,5.155197291953219
Brazilian tapir,Tapirus,Perissodactyla,0.9029576558509484,0.7958726101695849,0.08995417015530066,0.150668084052688,0.22649023865211526,0.8097468403447704,0.9306511747150555,4.0,5.0,4.0,1,0,0,herbi,0.8144539062462349,5.1298987149230735,5.3351361589362485
Caspian seal,Phoca,Carnivora,0.8505745274287995,0.7920569350391274,0.046617914915841,0.05584793963612202,0.0429090296779211,0.8491416462677018,0.8996020725364414,1.0,2.0,1.0,0,0,0,carni,1.8782558139534884,5.084690883925667,4.454347296253507
Cheetah,Acinonyx,Carnivora,0.8109436421071737,0.7712160955605126,0.6179679574932617,0.6162407467128721,0.6784622051702534,0.6723813312809787,0.5684475307312894,1.0,2.0,1.0,0,0,0,carni,2.5384,4.843556966714995,3.912023005428146
Chimpanzee,Pan,Primates,0.8142970184349158,0.8694329815172575,0.4462842847246069,0.4581820789166014,0.3757194431789963,0.9295238715813122,0.816337144799339,1.0,1.0,1.0,0,0,1,omni,8.42911877394636,6.0867747269123065,3.955082494888593
Chinchilla,Chinchilla,Rodentia,0.3123103971442894,0.46858783992306824,0.6455731660994264,0.7371485534096368,0.4122027247754853,0.28829600774564224,0.6231841763163074,5.0,4.0,4.0,1,0,0,herbi,15.23809523809524,1.8562979903656265,-0.8675005677047231
Common porpoise,Phocoena,Cetacea,0.8157345830230274,0.7733111016794194,0.15996352935048466,0.14597662748498985,0.23016739485786838,0.6723813312809787,0.8901296317647671,1.0,2.0,1.0,0,0,0,carni,2.4441519368183524,4.867380592466203,3.9736823858148735
Cotton rat,Sigmodon,Rodentia,0.21394930553220573,0.30017071980313553,0.5616693138924113,0.6317542119840379,0.2635803760577498,0.018706927366622456,0.19544844096874858,4.0,2.0,3.0,1,0,0,herbi,7.972972972972973,0.1655144384775733,-1.910543005218022
Cow,Bos,Artiodactyla,0.9480153816573693,0.8666832142105368,0.06951571788719894,0.032266216505795774,0.12281178238761582,0.8058425554371775,0.8627890498207699,5.0,5.0,5.0,1,0,0,herbi,0.705,6.0473721790462776,6.396929655216146
Deer mouse,Peromyscus,Rodentia,0.0782977637240046,0.0,0.5758626466836057,0.5729105549831,0.6454857564815721,0.3335571259796478,0.23175539144310123,4.0,2.0,3.0,1,0,0,herbi,0.025,-7.55211229537265,-3.863232841258714
Degu,Octodon,Rodentia,0.24503030587463434,0.7280380692748316,0.30182870845490667,0.31352273956675614,0.1902958851246984,0.28829600774564224,0.5586573617810183,4.0,2.0,3.0,1,0,0,herbi,376.4285714285714,4.370080563655481,-1.5606477482646683
Desert hedgehog,Paraechinus,Erinaceomorpha,0.3402903161772778,0.3677248497205119,0.48982937642521246,0.3815008761670774,0.7514352068375736,0.28829600774564224,0.27151031801628883,2.0,1.0,2.0,0,1,0,insecti,4.363636363636363,0.8754687373538999,-0.5978370007556204
Dog,Canis,Carnivora,0.6967184047894298,0.7165055207619809,0.4753364416545356,0.3956209234706928,0.7886598296149393,0.5906084706198991,0.45043891337899267,1.0,2.0,1.0,0,0,0,carni,5.0,4.248495242049359,2.6390573296152584
Domestic cat,Felis,Carnivora,0.5403912621710517,0.615562578792201,0.6455731660994264,0.7281009787603465,0.8843816476814711,0.7849798898497292,0.45043891337899267,1.0,2.0,1.0,0,0,0,carni,7.757575757575759,3.242592351485517,1.1939224684724346
Donkey,Equus,Perissodactyla,0.897521810053293,0.866016512790444,0.030784964574724284,0.037120078781766985,0.0429090296779211,0.8826247873230035,0.9172035629475144,5.0,5.0,5.0,1,0,0,herbi,2.2406417112299466,6.037870919922137,5.231108616854587
Eastern american chipmunk,Tamias,Rodentia,0.19068108347693016,0.7279308157011433,0.8509487010838882,0.848394005076776,0.8270725099677478,0.3335571259796478,0.23556599128121802,4.0,2.0,3.0,1,0,0,herbi,704.9999999999999,4.368941395125226,-2.1892564076870427
Eastern american mole,Scalopus,Soricomorpha,0.15956756999504124,0.3017001294191121,0.3519507699904989,0.24740734851830395,0.6072031555012771,0.10240478618245782,0.3264252425809048,1.0,1.0,1.0,0,1,0,insecti,16.0,0.1823215567939546,-2.5902671654458267
European hedgehog,Erinaceus,Erinaceomorpha,0.37636456341164737,0.40572337514645984,0.4753364416545356,0.276846383585401,0.9275443638030743,0.23930557627983212,0.3264252425809048,2.0,2.0,2.0,0,0,1,omni,4.545454545454545,1.252762968495368,-0.2613647641344075
Galago,Galago,Primates,0.24057424381319703,0.4426323245766015,0.4535532367389559,0.588905613402358,0.301083737096569,0.4282484433545129,0.6431111825259223,2.0,2.0,2.0,0,0,1,omni,25.0,1.6094379124341005,-1.6094379124341005
Genet,Genetta,Carnivora,0.4833457312065248,0.5755706288609453,0.20523944016178725,0.1206614841263948,0.33858171324415226,0.8413667186361845,0.48264888895742436,1.0,2.0,1.0,0,0,0,carni,8.75,2.862200880929469,0.6931471805599453
Giant armadillo,Priodontes,Cingulata,0.8248993571691527,0.7303287073376159,0.9553830231417296,0.8193677932689626,0.9951847520961771,0.28829600774564224,0.036836262067858325,1.0,1.0,1.0,0,1,0,insecti,1.35,4.394449154672439,4.0943445622221
Giraffe,Giraffa,Artiodactyla,0.9607810691880413,0.8981951433393729,0.0,0.005525690369155435,0.02415835655849139,0.7849798898497292,0.9343373129551082,5.0,5.0,5.0,1,0,0,herbi,0.7555597531097394,6.522092798170152,6.802389207753323
Goat,Capri,Artiodactyla,0.7780816090545026,0.7624614550164189,0.14143504396767162,0.03629164228367228,0.06591125389671428,0.6723813312809787,0.7021087876548847,5.0,5.0,5.0,1,0,0,herbi,3.4328358208955225,4.74493212836325,3.5115454388310208
Golden hamster,Mesocricetus,Rodentia,0.196315871601963,0.2853090412731495,0.7635325579810088,0.7371485534096368,0.8618537404009412,0.12519172357663108,0.05617613732000088,3.0,1.0,2.0,1,0,0,herbi,8.333333333333334,0.0,-2.120263536200091
Golden-mantled ground squirrel,Spermophilus,Rodentia,0.24282458981546645,0.41944434766363015,0.8563209681779239,0.6808759286209217,0.8618537404009412,0.37527639065000107,0.20591516327035633,5.0,1.0,3.0,1,0,0,herbi,19.51219512195122,1.3862943611198906,-1.584745299843729
Gorilla,Gorilla,Primates,0.9028335444971783,0.863794789042588,0.6110049039663698,0.6172811667922202,0.6156493819691403,0.8784232351534679,0.8379978710907179,1.0,4.0,1.0,1,0,0,herbi,1.961352657004831,6.0063531596017325,5.332718793265369
Gray hyrax,Heterohyrax,Hyracoidea,0.5143569274737064,0.5378215993082549,0.20523944016178725,0.22007733267690524,0.09273136755453751,0.5403030869999519,0.8142265084277017,3.0,2.0,3.0,1,0,0,herbi,4.674285714285714,2.50715725872282,0.965080896043587
Gray seal,Haliochoerus,Carnivora,0.8497797404772797,0.8476665228193075,0.19861801159972084,0.11363674198908907,0.4122027247754853,0.8883831496961453,0.8841109865967809,1.0,3.0,1.0,0,0,0,carni,3.823529411764706,5.783825182329737,4.442651256490317
Gray wolf,Canis,Carnivora,0.7849772445513863,0.7658842583621105,0.6794576797934885,0.6740181702114445,0.7433789230566613,0.5952525130326909,0.45043891337899267,1.0,1.0,1.0,0,0,0,carni,3.289292595650977,4.783316371371566,3.5926438462331105
Greater short-tailed shrew,Blarina,Soricomorpha,0.07288203192808596,0.18691786028452992,0.7999230996682208,0.8345898773505751,0.6610114152081665,0.07418484890353447,0.13803703980432597,3.0,1.0,2.0,0,0,1,omni,15.26315789473684,-1.2378743560016174,-3.963316299815697
Guinea pig,Cavis,Rodentia,0.3702711915365983,0.4526207423292748,0.42446742832858536,0.3599515051702142,0.15553949409796886,0.3158910357223616,0.47380016700470035,5.0,3.0,4.0,1,0,0,herbi,7.554945054945055,1.7047480922384253,-0.3174542307854511
Horse,Equus,Perissodactyla,0.9430413156348675,0.8958364353874884,0.023809552280919074,0.0,0.15553949409796886,0.91336676583896,0.9008151741520006,5.0,5.0,5.0,1,0,0,herbi,1.2571976967370442,6.484635235635252,6.255750041753367
House mouse,Mus,Rodentia,0.08085493415478948,0.21018696177877905,0.6455731660994264,0.811860587868287,0.33858171324415226,0.08539419724286591,0.09894612276126014,4.0,1.0,3.0,1,0,0,herbi,18.181818181818183,-0.916290731874155,-3.816712825623821
Human,Homo,Primates,0.8273415063995262,0.9364315219461233,0.3232105703475878,0.2284322409218471,0.5475433069516609,1.0,0.8513024802167909,1.0,1.0,1.0,0,0,1,omni,21.29032258064516,7.1853870155804165,4.127134385045092
Jaguar,Panthera,Carnivora,0.8605870999458433,0.7896410598863158,0.4970642878491041,0.47582136228193034,0.6128486806908124,0.712068212359006,0.5899803264609013,1.0,1.0,1.0,0,0,0,carni,1.57,5.056245805348308,4.605170185988092
Laboratory rat,Rattus,Rodentia,0.28506683547276745,0.34486814596937665,0.6794576797934885,0.7001476434040756,0.7308968628071548,0.1701684593120725,0.12542253980559673,3.0,1.0,3.0,1,0,0,herbi,5.9375,0.6418538861723947,-1.1394342831883648
Lesser short-tailed shrew,Cryptotis,Soricomorpha,0.0,0.14045309697554204,0.40265674873665686,0.39235555216628826,0.3757194431789963,0.05240060377552837,0.13178063363787246,5.0,2.0,4.0,0,0,1,omni,28.000000000000004,-1.9661128563728327,-5.298317366548036
Lion,Panthera,Carnivora,0.8895271066296735,0.8224923059490782,0.7125455613652178,0.7133401698573409,0.7433789230566613,0.6723813312809787,0.6308461698149004,1.0,2.0,1.0,0,0,0,carni,1.4496064991114497,5.455791090372227,5.084498950693076
Little brown bat,Myotis,Chiroptera,0.04022453124221981,0.1767446676586729,1.0,1.0,0.5780964938357974,0.7354214446825633,0.37960400250483706,1.0,1.0,1.0,0,1,0,insecti,25.0,-1.3862943611198906,-4.605170185988091
Long-nosed armadillo,Dasypus,Cingulata,0.5470618991331913,0.5242138789883964,0.9283110742868749,0.9452148125848486,0.8211139286971968,0.26427244176057335,0.6431111825259223,2.0,1.0,1.0,0,0,0,carni,3.085714285714286,2.379546134130174,1.252762968495368
Macaque,Macaca,Primates,0.6210264172689508,0.8006820197805473,0.4753364416545356,0.46920707564454217,0.301083737096569,0.7956997584161392,0.7299979659531874,2.0,3.0,2.0,0,0,1,omni,26.323529411764707,5.187385805840755,1.916922612182061
Mole rat,Spalax,Rodentia,0.19767811187815298,0.390051178944127,0.5115064266557099,0.4471613496665891,0.6857246158747489,0.3158910357223616,0.22595976804324733,2.0,1.0,1.0,0,1,0,insecti,24.59016393442623,1.0986122886681098,-2.1037342342488805
Mongolian gerbil,Meriones,Rodentia,0.1348640404455004,0.008082923187438243,0.7573046378918726,0.8095762392579464,0.5475433069516609,0.13087590705621943,0.18466518923175243,4.0,2.0,3.0,1,0,0,herbi,0.025,-6.626342819543951,-2.9374633654300157
Mongoose lemur,Lemur,Primates,0.46282014614747197,0.729688971895913,0.4317403864080723,0.4802297095043072,0.1902958851246984,0.8058425554371775,0.6637384658759954,2.0,3.0,2.0,1,0,0,herbi,48.17365269461078,4.387635873438392,0.5128236264286637
Mountain beaver,Aplodontia,Rodentia,0.4387287917035142,0.4935647640386629,0.7697157877866622,0.46920707564454217,0.7706718577188257,0.39489060423036754,0.3474127884112321,3.0,1.0,3.0,1,0,0,herbi,5.999999999999999,2.091864061678393,0.3001045924503381
Musk shrew,Suncus,Soricomorpha,0.1281839503679159,0.19606653497419202,0.6659930575975421,0.7189157939436244,0.5780964938357974,0.022972346265367177,0.22595976804324733,4.0,1.0,3.0,0,1,0,insecti,6.875,-1.1086626245216111,-3.036554268074246
